sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,cost,created_at,description,manufacturer,features,spectablehtml,name,price,short_description,status,tax_class_id,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_incrementsuse_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_media_attribute_id,_media_lable,_media_image,image,small_image,thumbnail,pdfs,special_price
DWT25502SS,,Default,simple,"Large Appliance/Dishwashers","Default Category",base,,"2016-10-12 12:56:55","Anti-fingerprint Stainless Steel door panel, All Stainless Steel Interior protects dishwasher from heat and corrosion. Power Plug Included for easy and economical installation. 167(degree)F maximum water temp for completely clean and sanitized dishes. Water Counter ensures the right amount of water for clean dishes and no flooding. Double Wall Flow-through Heater for safe heating without corrosion. Internally-looped hose with air break prevents siphoning and dirty water backflow. Tablet function and 1/2 load function guarantee the right wash every time. Naturally, like all Blomberg dishwashers - it is Energy Star qualified.","BLOMBERG APPLIANCES",,"<table  class=""inline_sd_table"">
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">PRODUCT TYPE</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Dishwasher Type</td>
     <td class=""inline_sd_even_cell"">Built Under</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell"">Type</td>
     <td class=""inline_sd_odd_cell"">Front Control</td>
</tr>
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">PRODUCT COLOR</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Product Color</td>
     <td class=""inline_sd_even_cell"">Inox - Fingerprint Proof</td>
</tr>
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">MAIN FEATURES</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Number of Place Settings</td>
     <td class=""inline_sd_even_cell"">14</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell"">Tub</td>
     <td class=""inline_sd_odd_cell"">Stainless Steel Tub</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">DMFS overflow protection</td>
     <td class=""inline_sd_even_cell"">Overflow Safety</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell"">5 level wash with 3rd spray arm</td>
     <td class=""inline_sd_odd_cell"">3</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Delay Timer (hr)</td>
     <td class=""inline_sd_even_cell"">1/2 - 24:00</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell"">3 way euro filter</td>
     <td class=""inline_sd_odd_cell"">Partial Metal</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Drying System</td>
     <td class=""inline_sd_even_cell"">Static</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell"">Brushless DCTM motor</td>
     <td class=""inline_sd_odd_cell"">BLDC</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Turbidity sensor</td>
     <td class=""inline_sd_even_cell"">Yes</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell"">Allin1 tablet function</td>
     <td class=""inline_sd_odd_cell"">Automatic</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Half Load</td>
     <td class=""inline_sd_even_cell"">Yes</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell"">Power plug</td>
     <td class=""inline_sd_odd_cell"">USA-Canada</td>
</tr>
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">DISPLAY</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Program sequence</td>
     <td class=""inline_sd_even_cell"">LCD 2 Rows</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell"">Rinse aid indicator</td>
     <td class=""inline_sd_odd_cell"">Yes</td>
</tr>
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">RACK SYSTEM</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Cutlery Basket</td>
     <td class=""inline_sd_even_cell"">Sliding</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell"">Upper rack (inset shelves)</td>
     <td class=""inline_sd_odd_cell"">2</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">FlexiRack, adjustable upper rack</td>
     <td class=""inline_sd_even_cell"">Unloaded adjustable</td>
</tr>
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">DIMENSIONS</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Height - Unpacked (in)</td>
     <td class=""inline_sd_even_cell"">33 7/8""</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell"">Width - Unpacked (in)</td>
     <td class=""inline_sd_odd_cell"">23 1/2""</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Depth - Unpacked (in)</td>
     <td class=""inline_sd_even_cell"">22 1/2""</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell"">Weight - Unpacked (lb.)</td>
     <td class=""inline_sd_odd_cell"">83</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Height - Unpacked (cm)</td>
     <td class=""inline_sd_even_cell"">86.1 cm</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell"">Width - Unpacked (cm)</td>
     <td class=""inline_sd_odd_cell"">59.8 cm</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Depth - Unpacked (cm)</td>
     <td class=""inline_sd_even_cell"">57.0 cm</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell"">Weight - Unpacked (kg)</td>
     <td class=""inline_sd_odd_cell"">37.8 kg</td>
</tr>
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">ENVIROMENTAL STANDARTS</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">Water consumption (gal/cycle)</td>
     <td class=""inline_sd_even_cell"">3.5 - 5.0 Gal</td>
</tr>
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">OTHERS</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell"">EAN Code</td>
     <td class=""inline_sd_even_cell"">8690842064593</td>
</tr>
</table>
","Tall Tub dishwasher 5 cycle front control Stainless Steel 49 dBA",705.0,"Tall Tub dishwasher 5 cycle front control Stainless Steel 49 dBA",1,2,4,,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,88,88,http://www.specsserver.com/CACHE/MECXFBHOSJLV.JPG,http://www.specsserver.com/CACHE/MECXFBHOSJLV.JPG,http://www.specsserver.com/CACHE/MECXFBHOSJLV.JPG,http://www.specsserver.com/CACHE/MECXFBHOSJLV.JPG,http://www.specsserver.com/CACHE/MECXFBHOSJLV.JPG,"Energy Label**http://www.specsserver.com/CACHE/frvlejcxoije.pdf||User Manual**http://www.specsserver.com/CACHE/frpsidlsvgal.pdf||Installation Manual**http://www.specsserver.com/CACHE/frkdufsuhogy.pdf||Technical Specs**http://www.specsserver.com/CACHE/frpcppdjcdoa.pdf",
DUH30152UC,,Default,simple,"Large Appliance/HOOD","Default Category",base,,"2016-10-12 12:56:55","Bosch Under Cabinet Hoods Complete Your Bosch Kitchen Suite With Matching User Interfaces and Sleek European Design (UL)(LI)(B)(/B)280 CFM Blower Included (/LI)(LI)(B)(/B)Three Power Levels (/LI)(LI)(B)(/B)Dishwasher safe aluminum mesh filters (/LI)(LI)(B)(/B)Top or Rear Venting Options (/LI)(LI)(B)(/B)Ducted or Non-ducted Options (/LI)(/UL)(P) (/P)",BOSCH,"
            <ul>
 <li>Design</li>
 <blockquote>
 <li>Brushed Stainless Steel Finish</li>
 </blockquote>
 <blockquote>
 <li>Two Incandescent Lights</li>
 </blockquote>
 <li>Performance</li>
 <blockquote>
 <li>280 CFM Blower Included</li>
 </blockquote>
 <blockquote>
 <li>Three Power Levels</li>
 </blockquote>
 <blockquote>
 <li>Quickly and Quietly Clears the Air of Smoke and Odor</li>
 </blockquote>
 <li>Convenience</li>
 <blockquote>
 <li>Dishwasher-safe Mesh Filters</li>
 </blockquote>
 <blockquote>
 <li>Easy to Use Rotary Controls</li>
 </blockquote>
 <blockquote>
 <li>Top or Rear Venting Options</li>
 </blockquote>
 <blockquote>
 <li>Ducted or Non-ducted Options</li>
 </blockquote>
</ul>

         ","<table  class=""inline_sd_table"">
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">Specifications</td></tr>
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">General Properties</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Operating Mode</b></td>
     <td class=""inline_sd_even_cell"">Convertable: Ducted / Recirculating</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Number of speed settings</b></td>
     <td class=""inline_sd_odd_cell"">3-stage</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Motor location</b></td>
     <td class=""inline_sd_even_cell"">Integrated motor in hood body</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Number of lights</b></td>
     <td class=""inline_sd_odd_cell"">2</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Type of lamps used</b></td>
     <td class=""inline_sd_even_cell"">Bulbs</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Total power of the lamps (W)</b></td>
     <td class=""inline_sd_odd_cell"">80 W</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Grease filter type</b></td>
     <td class=""inline_sd_even_cell"">Multilayer cassette</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Grease filter material</b></td>
     <td class=""inline_sd_odd_cell"">Washable aluminium</td>
</tr>
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">Certifications</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Approval certificates</b></td>
     <td class=""inline_sd_even_cell"">CSA, UL</td>
</tr>
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">Installation Requirements</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Volts (V)</b></td>
     <td class=""inline_sd_even_cell"">120 V</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Frequency (Hz)</b></td>
     <td class=""inline_sd_odd_cell"">60 Hz</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Plug type</b></td>
     <td class=""inline_sd_even_cell"">120V-3 prong</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""></td>
     <td class=""inline_sd_odd_cell""></td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Overall appliance dimensions (HxWxD) (in)</b></td>
     <td class=""inline_sd_even_cell"">4 3/4'' / 4 3/4'' x 30'' x 20''</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Product packaging dimensions (HxWxD) (in)</b></td>
     <td class=""inline_sd_odd_cell"">12.99 x 23.99 x 35.99</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Required distance above cooktop/ranges</b></td>
     <td class=""inline_sd_even_cell"">30''/30''</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Net weight (lbs)</b></td>
     <td class=""inline_sd_odd_cell"">42 lbs</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Gross weight (lbs)</b></td>
     <td class=""inline_sd_even_cell"">48 lbs</td>
</tr>
</table>
","DUH30152UC 30"" Under Cabinet Wall Hood 300 Series - Stainless Steel",389.0,"DUH30152UC 30"" Under Cabinet Wall Hood 300 Series - Stainless Steel",1,2,4,42,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,88,88,http://www.specsserver.com/CACHE/FREMIPHDEXIY.PNG,http://www.specsserver.com/CACHE/FREMIPHDEXIY.PNG,http://www.specsserver.com/CACHE/FREMIPHDEXIY.PNG,http://www.specsserver.com/CACHE/FREMIPHDEXIY.PNG,http://www.specsserver.com/CACHE/FREMIPHDEXIY.PNG,"Download PDF**http://www.specsserver.com/CACHE/fruvvfesqqju.pdf||Download PDF**http://www.specsserver.com/CACHE/fruqlkpqbrkw.pdf||Download Spec Sheet PDF**http://www.specsserver.com/CACHE/frbhpgbiihem.pdf||Download PDF to computer or tablet (4933 KB)**http://www.specsserver.com/CACHE/frcauovhyqbm.pdf",
DUH36152UC,,Default,simple,"Large Appliance/HOOD","Default Category",base,,"2016-10-12 12:56:55","Bosch Under Cabinet Hoods Complete Your Bosch Kitchen Suite With Matching User Interfaces and Sleek European Design (UL)(LI)(B)(/B)280 CFM Blower Included (/LI)(LI)(B)(/B)Three Power Levels (/LI)(LI)(B)(/B)Dishwasher safe aluminum mesh filters (/LI)(LI)(B)(/B)Top or Rear Venting Options (/LI)(LI)(B)(/B)Ducted or Non-ducted Options (/LI)(/UL)(P) (/P)",BOSCH,"
            <ul>
 <li>Design</li>
 <blockquote>
 <li>Brushed Stainless Steel Finish</li>
 </blockquote>
 <blockquote>
 <li>Two Incandescent Lights</li>
 </blockquote>
 <li>Performance</li>
 <blockquote>
 <li>Three Power Levels</li>
 </blockquote>
 <blockquote>
 <li>Quickly and Quietly Clears the Air of Smoke and Odor</li>
 </blockquote>
 <li>Efficiency</li>
 <blockquote>
 <li>280 CFM Blower Included</li>
 </blockquote>
 <li>Convenience</li>
 <blockquote>
 <li>Dishwasher-safe Mesh Filters</li>
 </blockquote>
 <blockquote>
 <li>Easy to Use Rotary Controls</li>
 </blockquote>
 <blockquote>
 <li>Top or Rear Venting Options</li>
 </blockquote>
 <blockquote>
 <li>Ducted or Non-ducted Options</li>
 </blockquote>
</ul>

         ","<table  class=""inline_sd_table"">
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">Specifications</td></tr>
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">General Properties</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Operating Mode</b></td>
     <td class=""inline_sd_even_cell"">Convertable: Ducted / Recirculating</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Number of speed settings</b></td>
     <td class=""inline_sd_odd_cell"">3-stage</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Motor location</b></td>
     <td class=""inline_sd_even_cell"">Integrated motor in hood body</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Number of lights</b></td>
     <td class=""inline_sd_odd_cell"">2</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Type of lamps used</b></td>
     <td class=""inline_sd_even_cell"">Bulbs</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Total power of the lamps (W)</b></td>
     <td class=""inline_sd_odd_cell"">80 W</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Grease filter type</b></td>
     <td class=""inline_sd_even_cell"">Multilayer cassette</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Grease filter material</b></td>
     <td class=""inline_sd_odd_cell"">Washable aluminium</td>
</tr>
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">Certifications</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Approval certificates</b></td>
     <td class=""inline_sd_even_cell"">CSA, UL</td>
</tr>
<tr class=""inline_sd_row""><td class=""inline_sd_header"" colspan=""2"">Installation Requirements</td></tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Volts (V)</b></td>
     <td class=""inline_sd_even_cell"">120 V</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Frequency (Hz)</b></td>
     <td class=""inline_sd_odd_cell"">60 Hz</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Plug type</b></td>
     <td class=""inline_sd_even_cell"">120V-3 prong</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""></td>
     <td class=""inline_sd_odd_cell""></td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Overall appliance dimensions (HxWxD) (in)</b></td>
     <td class=""inline_sd_even_cell"">4 3/4'' / 4 3/4'' x 36'' x 20''</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Product packaging dimensions (HxWxD) (in)</b></td>
     <td class=""inline_sd_odd_cell"">12.99 x 23.99 x 35.99</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Required distance above cooktop/ranges</b></td>
     <td class=""inline_sd_even_cell"">30''/30''</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_odd_cell""><b>Net weight (lbs)</b></td>
     <td class=""inline_sd_odd_cell"">41 lbs</td>
</tr>
<tr class=""inline_sd_cell_row"">
     <td class=""inline_sd_even_cell""><b>Gross weight (lbs)</b></td>
     <td class=""inline_sd_even_cell"">48 lbs</td>
</tr>
</table>
","DUH36152UC 36"" Under Cabinet Wall Hood 300 Series - Stainless Steel",439.0,"DUH36152UC 36"" Under Cabinet Wall Hood 300 Series - Stainless Steel",1,2,4,41,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,88,88,http://www.specsserver.com/CACHE/FRTBEXGDKXKC.PNG,http://www.specsserver.com/CACHE/FRTBEXGDKXKC.PNG,http://www.specsserver.com/CACHE/FRTBEXGDKXKC.PNG,http://www.specsserver.com/CACHE/FRTBEXGDKXKC.PNG,http://www.specsserver.com/CACHE/FRTBEXGDKXKC.PNG,"Download PDF**http://www.specsserver.com/CACHE/fruvvfesqqju.pdf||Download PDF**http://www.specsserver.com/CACHE/fruqlkpqbrkw.pdf||Download Spec Sheet PDF**http://www.specsserver.com/CACHE/frlkyjcvqevx.pdf||Download PDF to computer or tablet (4933 KB)**http://www.specsserver.com/CACHE/frcauovhyqbm.pdf",
